time	V(n003)
Step Information: Temp=-10  (Step: 1/5)
1.276992894049257e-03	1.775271e+00
1.279741796665881e-03	1.721360e+00
1.284177273077361e-03	1.540422e+00
1.291129251289758e-03	1.025771e+00
1.301115766660813e-03	-1.490105e-01
1.311115766660813e-03	-1.522298e+00
1.319247824026578e-03	-2.328267e+00
1.324283851374547e-03	-2.513896e+00
1.326233668997966e-03	-2.508295e+00
1.328508030104248e-03	-2.446347e+00
1.332194386192554e-03	-2.226971e+00
1.338062371151719e-03	-1.626943e+00
1.346440633692417e-03	-4.898362e-01
1.354495217600409e-03	5.632528e-01
1.364495217600409e-03	1.462927e+00
1.372126662173515e-03	1.762518e+00
1.375422242268634e-03	1.786222e+00
1.377187513789136e-03	1.772963e+00
1.380057645788217e-03	1.712324e+00
1.384682242575013e-03	1.512562e+00
1.391897411802481e-03	9.520745e-01
1.401897411802481e-03	-2.561022e-01
1.411897411802482e-03	-1.619712e+00
1.419800923381290e-03	-2.362100e+00
1.424509809988762e-03	-2.515501e+00
1.426317756764002e-03	-2.506996e+00
1.428644782075518e-03	-2.440773e+00
1.432414901431045e-03	-2.209445e+00
1.438407100524336e-03	-1.584455e+00
1.446684360464927e-03	-4.556134e-01
1.454851221287740e-03	6.043219e-01
1.464851221287740e-03	1.484575e+00
1.472304443140335e-03	1.765401e+00
1.475490025890390e-03	1.786100e+00
1.477297869594350e-03	1.771505e+00
1.480236652786757e-03	1.707010e+00
1.484967891673629e-03	1.496089e+00
1.492329410929864e-03	9.092975e-01
1.502329410929864e-03	-3.158467e-01
1.512329410929864e-03	-1.672108e+00
1.520975861842640e-03	-2.423398e+00
1.524977447818061e-03	-2.516902e+00
1.526491617767140e-03	-2.504047e+00
1.528927457431667e-03	-2.428559e+00
1.532870182757829e-03	-2.171943e+00
1.539116082696452e-03	-1.495159e+00
1.547257718197881e-03	-3.754932e-01
1.555629407977447e-03	6.920615e-01
1.565629407977447e-03	1.529193e+00
1.572682807244784e-03	1.770984e+00
1.575633604150403e-03	1.785648e+00
1.577531604229555e-03	1.768242e+00
1.580615558826814e-03	1.695046e+00
1.585571163377824e-03	1.459782e+00
1.593235502941816e-03	8.162725e-01
1.603235502941816e-03	-4.420512e-01
1.613235502941816e-03	-1.778607e+00
1.621472362413750e-03	-2.444795e+00
1.625170738527296e-03	-2.516716e+00
1.626778014650212e-03	-2.498633e+00
1.629392851875962e-03	-2.406738e+00
1.633618050202265e-03	-2.106297e+00
1.640272167676488e-03	-1.344805e+00
1.648232116846365e-03	-2.404525e-01
1.656965575538697e-03	8.357127e-01
1.666965575538697e-03	1.597486e+00
1.673302055094793e-03	1.778293e+00
1.675866882733649e-03	1.784656e+00
1.677911291938606e-03	1.762238e+00
1.681230326597306e-03	1.673848e+00
1.686545737774263e-03	1.396600e+00
1.694680385700334e-03	6.592601e-01
1.704680385700334e-03	-6.449928e-01
1.714680385700334e-03	-1.937407e+00
1.722219508577008e-03	-2.471871e+00
1.725457669458711e-03	-2.515647e+00
1.727245192030369e-03	-2.487809e+00
1.730151213486978e-03	-2.365957e+00
1.734831602702380e-03	-1.989683e+00
1.742123528031787e-03	-1.094437e+00
1.749972378646256e-03	-4.262661e-03
1.759286438917810e-03	1.063015e+00
1.769131920623102e-03	1.685847e+00
1.774235973100743e-03	1.785080e+00
1.776215841000549e-03	1.782761e+00
1.778479033597245e-03	1.751689e+00
1.782147607805141e-03	1.637612e+00
1.787989134331219e-03	1.292853e+00
1.796774145434698e-03	4.140955e-01
1.806774145434698e-03	-9.390730e-01
1.816774145434698e-03	-2.139486e+00
1.823215548392742e-03	-2.498175e+00
1.825834404774488e-03	-2.512815e+00
1.827858436619457e-03	-2.469840e+00
1.831144805392825e-03	-2.303456e+00
1.836410492087167e-03	-1.820984e+00
1.844481320523877e-03	-7.653691e-01
1.852318089675108e-03	2.999319e-01
1.862318089675108e-03	1.314890e+00
1.870969514479857e-03	1.739167e+00
1.874974961617655e-03	1.786848e+00
1.876490693690772e-03	1.780472e+00
1.878925955287507e-03	1.742060e+00
1.882867765369428e-03	1.605952e+00
1.889112328315785e-03	1.203804e+00
1.898362256551277e-03	2.157071e-01
1.908362256551277e-03	-1.158555e+00
1.918362256551277e-03	-2.267271e+00
1.923913014418840e-03	-2.509818e+00
1.926095456768493e-03	-2.509885e+00
1.928283209216325e-03	-2.454896e+00
1.931831510170381e-03	-2.254447e+00
1.937493276511101e-03	-1.695525e+00
1.945959372555553e-03	-5.572234e-01
1.953881839301585e-03	4.912095e-01
1.963881839301585e-03	1.424145e+00
1.971813107874572e-03	1.757018e+00
1.975302136995003e-03	1.786624e+00
1.976991963865485e-03	1.775409e+00
1.979740286604204e-03	1.721535e+00
1.984174856002636e-03	1.540687e+00
1.991125561020684e-03	1.026270e+00
2.001110849700662e-03	-1.481589e-01
2.011110849700662e-03	-1.521454e+00
2.019244916686740e-03	-2.327843e+00
2.024282652696220e-03	-2.513639e+00
2.026233222707834e-03	-2.508059e+00
2.028507304243441e-03	-2.446132e+00
2.032193215291616e-03	-2.226827e+00
2.038060538434244e-03	-1.626943e+00
2.046441788237469e-03	-4.894832e-01
2.054495170326800e-03	5.634135e-01
2.064495170326800e-03	1.463061e+00
2.072126638364291e-03	1.762649e+00
2.075422233176049e-03	1.786349e+00
2.077187498985522e-03	1.773095e+00
2.080057621770937e-03	1.712454e+00
2.084682204222793e-03	1.512703e+00
2.091897353676144e-03	9.522316e-01
